type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,42.106689233,-104.286968373,1267.5,-0.5,68.821,285.60,,,,,
T,42.108973889,-104.291818896,1265.8,-0.4,69.296,474.71,,,,,
T,42.112773573,-104.299879689,1264.2,-0.2,70.085,789.05,,,,,
T,42.117021605,-104.308930132,1268.7,0.5,70.969,884.80,,,,,
T,42.120554661,-104.316778611,1270.2,0.2,71.728,758.46,,,,,
T,42.122830683,-104.321624190,1269.6,-0.1,72.202,473.78,,,,,
T,42.127391612,-104.331318531,1269.1,-0.1,73.150,948.28,,,,,
T,42.129628155,-104.336073585,1269.8,0.2,73.615,465.08,,,,,
T,42.130684275,-104.338316079,1270.2,0.2,73.834,219.41,,,,,
T,42.131087026,-104.339179248,1270.4,0.2,73.919,84.23,,,,,
T,42.131653726,-104.340407113,1270.5,0.1,74.038,119.45,,,,,
T,42.133553736,-104.344464038,1271.8,0.3,74.434,396.29,,,,,
T,42.133903178,-104.345098128,1271.7,-0.0,74.500,65.23,,,,,
T,42.134624189,-104.345525941,1271.6,-0.1,74.587,87.55,,,,,
T,42.138008885,-104.345496353,1271.9,0.1,74.963,375.97,,,,,
T,42.140307203,-104.345320417,1273.7,0.7,75.219,255.70,,,,,
T,42.140949927,-104.345135177,1276.0,3.3,75.292,73.02,,,,,
T,42.141575888,-104.344861088,1279.6,4.8,75.365,73.13,,,,,
T,42.142051309,-104.344609045,1281.0,2.6,75.422,56.77,,,,,
T,42.142560258,-104.344302183,1285.7,7.5,75.484,61.96,,,,,
T,42.143113716,-104.343964811,1287.8,3.1,75.551,67.51,,,,,
T,42.143707406,-104.343597349,1292.8,6.9,75.624,72.60,,,,,
T,42.144343173,-104.343202477,1293.8,1.3,75.702,77.80,,,,,
T,42.144791102,-104.342926880,1295.5,3.1,75.756,54.72,,,,,
T,42.145499373,-104.342493452,1301.7,7.2,75.843,86.45,,,,,
T,42.146249889,-104.342025239,1305.1,3.7,75.935,91.91,,,,,
T,42.147028567,-104.341550069,1310.1,5.2,76.030,94.99,,,,,
T,42.148075216,-104.340914888,1312.2,1.7,76.157,127.56,,,,,
T,42.149381870,-104.340138053,1316.7,2.8,76.316,158.71,,,,,
T,42.150183767,-104.339729939,1316.4,-0.3,76.411,95.25,,,,,
T,42.155511137,-104.336950835,1312.0,-0.7,77.046,634.76,,,,,
T,42.156032491,-104.336636681,1314.1,3.2,77.109,63.46,,,,,
T,42.157856394,-104.335527588,1308.1,-2.7,77.332,222.36,,,,,
T,42.158113970,-104.335360033,1307.7,-1.5,77.364,31.79,,,,,
T,42.159129856,-104.334654445,1305.3,-1.9,77.491,127.02,,,,,
T,42.159380307,-104.334469791,1305.1,-0.6,77.522,31.73,,,,,
T,42.160858540,-104.333321219,1301.5,-1.9,77.712,189.66,,,,,
T,42.164092278,-104.330228884,1301.4,-0.0,78.153,440.82,,,,,
T,42.166838273,-104.326892886,1299.2,-0.5,78.564,411.13,,,,,
T,42.171723330,-104.320573602,1299.2,0.0,79.317,753.05,,,,,
T,42.172327163,-104.319790648,1300.1,0.9,79.410,93.19,,,,,
T,42.176371766,-104.314560005,1303.9,0.6,80.034,623.39,,,,,
T,42.177785542,-104.312744318,1308.6,2.2,80.251,217.17,,,,,
T,42.182048494,-104.307233552,1306.9,-0.3,80.908,656.89,,,,,
T,42.182252761,-104.306974634,1307.1,0.6,80.939,31.18,,,,,
T,42.184497099,-104.304659553,1305.5,-0.5,81.253,314.21,,,,,
T,42.187024662,-104.302915195,1304.1,-0.4,81.569,315.58,,,,,
T,42.191033978,-104.300955255,1301.2,-0.6,82.043,473.86,,,,,
T,42.194092870,-104.300038526,1296.7,-1.3,82.391,348.11,,,,,
T,42.199938325,-104.298372623,1297.0,0.1,83.054,663.72,,,,,
T,42.202780629,-104.298190232,1296.9,-0.0,83.370,316.07,,,,,
T,42.210178245,-104.298111443,1301.1,0.5,84.192,821.73,,,,,
T,42.213578196,-104.297712380,1303.5,0.6,84.571,379.09,,,,,
T,42.218071567,-104.296664139,1299.2,-0.8,85.078,506.56,,,,,
T,42.227037772,-104.294595486,1304.1,0.5,86.088,1010.48,,,,,
T,42.230123151,-104.293882018,1304.4,0.1,86.436,347.74,,,,,
T,42.231803806,-104.293505838,1306.2,0.9,86.625,189.25,,,,,
T,42.233776739,-104.293274498,1310.1,1.8,86.845,219.98,,,,,
T,42.234059880,-104.293270390,1310.9,2.5,86.877,31.45,,,,,
T,42.235193113,-104.293278270,1314.6,2.9,87.003,125.88,,,,,
T,42.236615941,-104.293289417,1318.8,2.7,87.161,158.05,,,,,
T,42.236900926,-104.293289836,1319.5,2.2,87.192,31.66,,,,,
T,42.238322580,-104.293298051,1321.6,1.4,87.350,157.92,,,,,
T,42.239459669,-104.293306265,1323.0,1.1,87.476,126.31,,,,,
T,42.247166829,-104.293322945,1319.0,-0.5,88.333,856.10,,,,,
T,42.247451814,-104.293324202,1318.5,-1.5,88.364,31.66,,,,,
T,42.249160549,-104.293316910,1315.5,-1.6,88.554,189.80,,,,,
T,42.256266642,-104.293342810,1315.1,-0.1,89.343,789.33,,,,,
T,42.261086991,-104.293576246,1317.5,0.5,89.879,535.78,,,,,
T,42.262679972,-104.294376550,1317.9,0.2,90.068,188.87,,,,,
T,42.266928675,-104.297492690,1322.7,0.9,90.605,537.43,,,,,
T,42.269433774,-104.299313156,1324.7,0.6,90.922,316.21,,,,,
T,42.274756031,-104.302954003,1325.7,0.1,91.585,663.11,,,,,
T,42.276977906,-104.303620867,1328.1,0.9,91.838,252.86,,,,,
T,42.279826412,-104.303699825,1326.7,-0.4,92.154,316.48,,,,,
T,42.283529621,-104.303692868,1326.2,-0.1,92.565,411.35,,,,,
T,42.287514545,-104.303709380,1326.0,-0.0,93.008,442.64,,,,,
T,42.296926081,-104.303662106,1329.7,0.3,94.054,1045.43,,,,,
T,42.302698363,-104.303591782,1329.8,0.0,94.695,641.21,,,,,
T,42.303274702,-104.303582814,1331.8,3.2,94.759,64.02,,,,,
T,42.306153467,-104.303796552,1329.7,-0.7,95.079,320.26,,,,,
T,42.307302123,-104.303994784,1329.2,-0.4,95.208,128.63,,,,,
T,42.310965350,-104.304939508,1328.4,-0.2,95.622,414.30,,,,,
T,42.313030483,-104.306264184,1329.7,0.5,95.876,254.06,,,,,
T,42.316396153,-104.308973132,1336.1,1.5,96.312,435.48,,,,,
T,42.316918932,-104.309258368,1335.8,-0.5,96.374,62.65,,,,,
T,42.319980338,-104.310459914,1329.7,-1.7,96.728,354.19,,,,,
T,42.323582377,-104.312061528,1331.4,0.4,97.150,421.33,,,,,
T,42.326130727,-104.313986683,1333.5,0.7,97.474,324.51,,,,,
T,42.329822285,-104.317190247,1340.6,1.5,97.962,487.72,,,,,
T,42.333023669,-104.319954766,1341.8,0.3,98.384,422.34,,,,,
T,42.334253965,-104.321018932,1341.9,0.1,98.547,162.38,,,,,
T,42.336591762,-104.322631443,1344.9,1.0,98.838,291.71,,,,,
T,42.338597048,-104.323128574,1343.2,-0.7,99.065,226.48,,,,,
T,42.341813100,-104.323066296,1342.7,-0.1,99.422,357.28,,,,,
T,42.342392961,-104.323047856,1342.9,0.4,99.487,64.43,,,,,
T,42.344432948,-104.323064201,1344.7,0.8,99.713,226.61,,,,,
T,42.346542422,-104.323587734,1344.0,-0.3,99.951,238.26,,,,,
T,42.347847316,-104.324044129,1345.8,1.2,100.101,149.75,,,,,
T,42.351246430,-104.325232515,1346.4,0.2,100.491,390.06,,,,,
T,42.352767158,-104.325763592,1346.6,0.1,100.666,174.50,,,,,
T,42.356715705,-104.327149875,1348.7,0.5,101.119,453.23,,,,,
T,42.361186948,-104.329019962,1352.4,0.7,101.639,520.01,,,,,
T,42.361979457,-104.329545507,1353.8,1.5,101.737,98.10,,,,,
T,42.363001211,-104.330334496,1357.4,2.7,101.868,130.79,,,,,
T,42.363497000,-104.330770942,1358.6,1.8,101.934,65.77,,,,,
T,42.364916978,-104.332230147,1361.4,1.4,102.132,198.31,,,,,
T,42.365580322,-104.333041515,1362.4,1.0,102.231,99.48,,,,,
T,42.367768921,-104.336335519,1360.9,-0.4,102.596,364.32,,,,,
T,42.369894236,-104.339667996,1364.0,0.8,102.958,362.05,,,,,
T,42.370087942,-104.339971421,1364.0,0.2,102.991,32.98,,,,,
T,42.375158994,-104.347804058,1365.3,0.2,103.847,856.45,,,,,
T,42.375594936,-104.348340752,1367.3,2.9,103.913,65.57,,,,,
T,42.377545824,-104.350137580,1368.3,0.4,104.175,262.42,,,,,
T,42.379741631,-104.351323284,1369.1,0.3,104.438,262.73,,,,,
T,42.385355244,-104.353896864,1368.2,-0.1,105.097,658.60,,,,,
T,42.386766924,-104.354550820,1363.9,-2.6,105.262,165.80,,,,,
T,42.387049058,-104.354680823,1362.8,-3.3,105.295,33.12,,,,,
T,42.387892278,-104.355062954,1361.0,-1.7,105.394,98.81,,,,,
T,42.390475748,-104.355852697,1360.1,-0.3,105.689,294.25,,,,,
T,42.393416539,-104.356267266,1365.0,1.5,106.017,328.44,,,,,
T,42.397552840,-104.356566584,1365.5,0.1,106.477,460.12,,,,,
T,42.400216609,-104.356540181,1366.3,0.2,106.773,295.90,,,,,
T,42.402352151,-104.356531631,1366.8,0.2,107.010,237.22,,,,,
T,42.403136780,-104.356526434,1367.4,0.7,107.097,87.16,,,,,
T,42.404261464,-104.356520399,1368.3,0.7,107.222,124.93,,,,,
T,42.409219025,-104.356504306,1369.2,0.2,107.773,550.69,,,,,
T,42.417006651,-104.356489470,1370.0,0.1,108.638,865.06,,,,,
T,42.419592468,-104.356552670,1376.2,2.2,108.925,287.28,,,,,
T,42.420158498,-104.356668675,1376.3,0.2,108.989,63.60,,,,,
T,42.421285361,-104.356998839,1378.4,1.6,109.117,128.09,,,,,
T,42.425230136,-104.358191751,1379.7,0.3,109.566,449.05,,,,,
T,42.425511349,-104.358274732,1379.9,0.5,109.598,31.98,,,,,
T,42.427481431,-104.358867500,1381.3,0.6,109.822,224.21,,,,,
T,42.430017628,-104.359626481,1384.5,1.1,110.111,288.57,,,,,
T,42.434286531,-104.360564333,1388.8,0.9,110.591,480.44,,,,,
